"id","entity_creation_timestamp","name","location","banner","category","logo","description","street","housenumber","postalcode","opening_hours_monday","opening_hours_tuesday","opening_hours_wednesday","opening_hours_thursday","opening_hours_friday","opening_hours_saturday","opening_hours_sunday","phone_contact","website_link","instagram_link","facebook_link","images","menu","price_range","entity_jobs"
301,"2024-04-25T16:55:04.176Z","Reitbauer-Lettner KG","Hohenems","7d44b764-b629-4569-92a6-3a6fdd342fb0","[""accommodation""]",,"Besuchen Sie unser Accommodation Reitbauer-Lettner KG in Bludenz. Wir bieten eine Vielzahl von Dienstleistungen an.","Sonnleitnergasse","13","6820","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
302,"2024-04-25T16:55:04.606Z","Karner Inc KG","Hohenems","99408b7c-8c73-4d36-af54-84696832ebdd","[""organisation""]",,"Besuchen Sie unser Organisation Karner Inc KG in Dornbirn. Wir bieten eine Vielzahl von Dienstleistungen an.","Maximilian-Rieser-Ring","8","6850","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
303,"2024-04-25T16:55:04.618Z","Martin-Laimer OHG","Bludenz","99408b7c-8c73-4d36-af54-84696832ebdd","[""organisation""]",,"Besuchen Sie unser Organisation Martin-Laimer OHG in Lauterach. Wir bieten eine Vielzahl von Dienstleistungen an.","Louise-Walcher-Platz","1","6850","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
304,"2024-04-25T16:55:04.630Z","Feichtenschlager-Gruber GmbH","Hard","3447c278-ac1d-4fec-a651-1fe81e152902","[""hotel""]",,"Besuchen Sie unser Hotel Feichtenschlager-Gruber GmbH in Bregenz. Wir bieten eine Vielzahl von Dienstleistungen an.","Ritterring","11","6830","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
305,"2024-04-25T16:55:04.641Z","Schwarzl-Koch GmbH","Wolfurt","99408b7c-8c73-4d36-af54-84696832ebdd","[""organisation""]",,"Besuchen Sie unser Organisation Schwarzl-Koch GmbH in Lauterach. Wir bieten eine Vielzahl von Dienstleistungen an.","Böhlerweg","19","6830","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
306,"2024-04-25T16:55:04.654Z","Augustin Ltd OHG","Bregenz","d19d35f1-072b-46be-b784-9dd96ec73ede","[""nightclub""]",,"Besuchen Sie unser Nightclub Augustin Ltd OHG in Lauterach. Wir bieten eine Vielzahl von Dienstleistungen an.","Kai-Gärtner-Gasse","22","6900","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
307,"2024-04-25T16:55:04.667Z","Dorn-Herbst OHG","Wolfurt","e7947e92-c216-49da-9c32-c2c62eec85e4","[""association""]",,"Besuchen Sie unser Association Dorn-Herbst OHG in Wolfurt. Wir bieten eine Vielzahl von Dienstleistungen an.","Kopfring","32","6811","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
308,"2024-04-25T16:55:04.677Z","Helm LLC KG","Dornbirn","d19d35f1-072b-46be-b784-9dd96ec73ede","[""nightclub""]",,"Besuchen Sie unser Nightclub Helm LLC KG in Bregenz. Wir bieten eine Vielzahl von Dienstleistungen an.","Martina-Wurzer-Weg","5","6845","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
309,"2024-04-25T16:55:04.689Z","Schandl Inc GmbH","Hard","66ffaf7f-5253-4a6e-8358-74f503c4b822","[""doctor""]",,"Besuchen Sie unser Doctor Schandl Inc GmbH in Dornbirn. Wir bieten eine Vielzahl von Dienstleistungen an.","Malena-Kirchmair-Platz","35","6845","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
310,"2024-04-25T16:55:04.701Z","Hödl, Eisl and Schwendinger KG","Bregenz","7d44b764-b629-4569-92a6-3a6fdd342fb0","[""accommodation""]",,"Besuchen Sie unser Accommodation Hödl, Eisl and Schwendinger KG in Bludenz. Wir bieten eine Vielzahl von Dienstleistungen an.","Spieglplatz","13","6800","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","09:00 - 18:00","+43 124 5678901","www.example.com","https://www.instagram.com","https://www.facebook.com",,,,"[]"
